Date,Adj Close,Capital Gains,Close,Dividends,High,Low,Open,Stock Splits,Volume
2011-01-04,633840.0,0.0,633840.0,0.0,650800.0,633120.0,633120.0,0.0,14
2011-01-05,620400.0,0.0,620400.0,0.0,640800.0,617440.0,640400.0,0.0,9
2011-01-06,623040.0,0.0,623040.0,0.0,629440.0,614960.0,619520.0,0.0,10
2011-01-07,624320.0,0.0,624320.0,0.0,640080.0,609440.0,617920.0,0.0,5
2011-01-10,623040.0,0.0,623040.0,0.0,646960.0,622080.0,637120.0,0.0,9
2011-01-11,605840.0,0.0,605840.0,0.0,618080.0,604080.0,613760.0,0.0,8
2011-01-12,578800.0,0.0,578800.0,0.0,594160.0,577280.0,592880.0,0.0,6
2011-01-13,572000.0,0.0,572000.0,0.0,584320.0,571920.0,578240.0,0.0,2
2011-01-14,548400.0,0.0,548400.0,0.0,576000.0,542400.0,576000.0,0.0,6
2011-01-18,531680.0,0.0,531680.0,0.0,547040.0,531360.0,544160.0,0.0,3
2011-01-19,559360.0,0.0,559360.0,0.0,570000.0,533120.0,534480.0,0.0,7
2011-01-20,554480.0,0.0,554480.0,0.0,576320.0,551440.0,563120.0,0.0,12
2011-01-21,559760.0,0.0,559760.0,0.0,564960.0,538960.0,539120.0,0.0,4
2011-01-24,547680.0,0.0,547680.0,0.0,563600.0,546480.0,560800.0,0.0,4
2011-01-25,540720.0,0.0,540720.0,0.0,561360.0,540720.0,553520.0,0.0,3
2011-01-26,523840.0,0.0,523840.0,0.0,538960.0,521280.0,535520.0,0.0,4
2011-01-27,514000.0,0.0,514000.0,0.0,526800.0,512800.0,524560.0,0.0,2
2011-01-28,557040.0,0.0,557040.0,0.0,564880.0,509040.0,512080.0,0.0,8
2011-01-31,554800.0,0.0,554800.0,0.0,558480.0,547040.0,549680.0,0.0,3
2011-02-01,528400.0,0.0,528400.0,0.0,542240.0,523040.0,542240.0,0.0,5
2011-02-02,526240.0,0.0,526240.0,0.0,533600.0,519280.0,532480.0,0.0,2
2011-02-03,520000.0,0.0,520000.0,0.0,541440.0,518400.0,528240.0,0.0,2
2011-02-04,507760.0,0.0,507760.0,0.0,519600.0,506800.0,518320.0,0.0,4
2011-02-07,498400.0,0.0,498400.0,0.0,501920.0,492880.0,501920.0,0.0,3
2011-02-08,491600.0,0.0,491600.0,0.0,504000.0,490080.0,497520.0,0.0,3
2011-02-09,494000.0,0.0,494000.0,0.0,504000.0,492880.0,496880.0,0.0,7
2011-02-10,493600.0,0.0,493600.0,0.0,506960.0,492080.0,506960.0,0.0,4
2011-02-11,485600.0,0.0,485600.0,0.0,499200.0,485200.0,499200.0,0.0,5
2011-02-14,481280.0,0.0,481280.0,0.0,488160.0,481200.0,485840.0,0.0,5
2011-02-15,487760.0,0.0,487760.0,0.0,488240.0,482240.0,483920.0,0.0,4
2011-02-16,493520.0,0.0,493520.0,0.0,493520.0,476400.0,480960.0,0.0,6
2011-02-17,498320.0,0.0,498320.0,0.0,502000.0,495840.0,496320.0,0.0,6
2011-02-18,503520.0,0.0,503520.0,0.0,508000.0,496800.0,496880.0,0.0,5
2011-02-22,566400.0,0.0,566400.0,0.0,569200.0,516480.0,534160.0,0.0,14
2011-02-23,591440.0,0.0,591440.0,0.0,606640.0,560880.0,566960.0,0.0,14
2011-02-24,583600.0,0.0,583600.0,0.0,602400.0,579760.0,590640.0,0.0,3
2011-02-25,547920.0,0.0,547920.0,0.0,567680.0,547200.0,567680.0,0.0,6
2011-02-28,524320.0,0.0,524320.0,0.0,534480.0,520640.0,534480.0,0.0,8
2011-03-01,562640.0,0.0,562640.0,0.0,563680.0,518000.0,519280.0,0.0,12
2011-03-02,564800.0,0.0,564800.0,0.0,570160.0,548720.0,564560.0,0.0,10
2011-03-03,535600.0,0.0,535600.0,0.0,543440.0,534800.0,538640.0,0.0,4
2011-03-04,550880.0,0.0,550880.0,0.0,560960.0,531520.0,532480.0,0.0,5
